fid,osm_id,osm_way_id,name,type,aeroway,amenity,admin_level,barrier,boundary,building,craft,geological,historic,land_area,landuse,leisure,man_made,military,natural,office,place,shop,sport,tourism,other_tags,name_2,keep_for_od,trip_category,feature_source
266,,"1246903999",Kunsill Lokali Birgu,,,,,,,public,,,,,,,,,,government,,,,,"""addr:housename""=>""Auberge de France"",""opening_hours""=>""Mo-Fr 8:00-12:30,13:15-16:45; Sa 8:00-12:00""",Il-Birgu,Yes,Commuting to work,polygon
267,,"1246904000",Lawrence of Rome,,,,,,,,,,,,,,,,,,,,,artwork,"""artwork_subject""=>""religious"",""artwork_type""=>""sculpture"",""name:mt""=>""San Lawrenz"",""subject:wikidata""=>""Q17590"",""subject:wikipedia""=>""en:Saint Lawrence""",Il-Birgu,Yes,Recreation,polygon
268,,"1246908375",IBB Hotel Palazzo Bettina,,,,,,,hotel,,,,,,,,,,,,,,,"""addr:housename""=>""Il-Palazz ta' Bettina"",""addr:housenumber""=>""3"",""addr:street""=>""Triq San Gorġ"",""building:levels""=>""3"",""heritage""=>""yes""",Il-Birgu,Yes,Recreation,polygon
269,,"1246972247",,,,marketplace,,,,,,,,,,,,,,,,,,,"""sells""=>""fruit;vegetables;fish;clothes;shoes""",Il-Birgu,Yes,Shopping,polygon
272,,"1271379855",,,,parking_space,,,,,,,,,,,,,,,,,,,,Il-Birgu,Yes,Others,polygon
280,,"1308856819",,,,,,,,,,,,,,track,,,,,,,running,,,Il-Birgu,Yes,Recreation,polygon
281,,"1346443412",Birgu Ditch Gardens,,,,,,,,,,,,,park,,,,,,,,,,Il-Birgu,Yes,Recreation,polygon
287,,"1350717296",Garden Belvedere,,,,,,,,,,,,,garden,,,,,,,,,,Il-Birgu,Yes,Recreation,polygon
292,,"1350849806",,,,parking,,,,,,,,,,,,,,,,,,,"""parking""=>""street_side""",Il-Birgu,Yes,Others,polygon
293,,"1365671660",,,,,,,,,,,,,,garden,,,,,,,,,,Il-Birgu,Yes,Recreation,polygon
294,,"1365671661",,,,,,,,,,,,,,garden,,,,,,,,,,Il-Birgu,Yes,Recreation,polygon
295,,"1365671662",,,,,,,,yes,,,,,,,,,,,,kiosk,,,,Il-Birgu,Yes,Shopping,polygon
296,,"1365671664",,,,,,,,,,,,,,garden,,,,,,,,,,Il-Birgu,Yes,Recreation,polygon
298,,"1365671667",,,,,,,,,,,,,,garden,,,,,,,,,,Il-Birgu,Yes,Recreation,polygon
299,,"1365671668",,,,,,,,,,,,,,garden,,,,,,,,,,Il-Birgu,Yes,Recreation,polygon
300,,"1365671669",,,,,,,,,,,,,,garden,,,,,,,,,,Il-Birgu,Yes,Recreation,polygon
301,,"1365671671",,,,parking,,,,,,,,,,,,,,,,,,,"""parking""=>""street_side""",Il-Birgu,Yes,Others,polygon
302,,"1365671672",,,,parking,,,,,,,,,,,,,,,,,,,"""parking""=>""street_side""",Il-Birgu,Yes,Others,polygon
310,,"1365700994",,,,,,,,,,,,,,outdoor_seating,,,,,,,,,,Il-Birgu,Yes,Recreation,polygon
311,,"1365700996",,,,parking,,,,,,,,,,,,,,,,,,,"""parking""=>""street_side""",Il-Birgu,Yes,Others,polygon
312,,"1365701004",,,,parking,,,,,,,,,,,,,,,,,,,"""parking""=>""street_side""",Il-Birgu,Yes,Others,polygon
313,,"1365701005",,,,parking,,,,,,,,,,,,,,,,,,,"""parking""=>""street_side""",Il-Birgu,Yes,Others,polygon
314,,"1365701006",,,,parking,,,,,,,,,,,,,,,,,,,"""parking""=>""street_side""",Il-Birgu,Yes,Others,polygon
315,,"1365701007",,,,parking,,,,,,,,,,,,,,,,,,,"""parking""=>""street_side""",Il-Birgu,Yes,Others,polygon
330,,"1366086706",,,,,,,,,,,,,,outdoor_seating,,,,,,,,,,Il-Birgu,Yes,Recreation,polygon
350,,"1366171220",,,,,,,,,,,,,,garden,,,,,,,,,,Il-Birgu,Yes,Recreation,polygon
351,,"1366171221",,,,,,,,,,,,,,garden,,,,,,,,,,Il-Birgu,Yes,Recreation,polygon
352,,"1366171222",,,,,,,,,,,,,,outdoor_seating,,,,,,,,,,Il-Birgu,Yes,Recreation,polygon
368,,"1366365559",,,,,,,,,,,,,,outdoor_seating,,,,,,,,,,Il-Birgu,Yes,Recreation,polygon
369,,"1366365568",,,,parking,,,,,,,,,,,,,,,,,,,"""motor_vehicle""=>""delivery"",""parking""=>""street_side""",Il-Birgu,Yes,Others,polygon
370,,"1366365569",,,,parking,,,,,,,,,,,,,,,,,,,"""parking""=>""street_side""",Il-Birgu,Yes,Others,polygon
372,,"1366465968",,,,parking,,,,,,,,,,,,,,,,,,,,Il-Birgu,Yes,Others,polygon
373,,"1366465969",,,,,,,,,,,,,,park,,,,,,,,,,Il-Birgu,Yes,Recreation,polygon
415,,"1366519804",,,,parking,,,,,,,,,,,,,,,,,,,,Il-Birgu,Yes,Others,polygon
438,,"1366525905",,,,parking,,,,,,,,,,,,,,,,,,,"""parking""=>""street_side""",Il-Birgu,Yes,Others,polygon
439,,"1366525908",,,,parking,,,,,,,,,,,,,,,,,,,"""parking""=>""street_side""",Il-Birgu,Yes,Others,polygon
443,,"1366693575",,,,parking,,,,,,,,,,,,,,,,,,,"""parking""=>""street_side""",Il-Birgu,Yes,Others,polygon
444,,"1366693576",,,,parking,,,,,,,,,,,,,,,,,,,"""parking""=>""street_side""",Il-Birgu,Yes,Others,polygon
445,,"1366693577",,,,parking,,,,,,,,,,,,,,,,,,,"""parking""=>""street_side""",Il-Birgu,Yes,Others,polygon
455,,"1366693603",,,,parking,,,,,,,,,,,,,,,,,,,"""parking""=>""street_side""",Il-Birgu,Yes,Others,polygon
479,,"1366747448",,,,,,,,church,,,,,,,,,,,,,,,"""height""=>""9"",""source:height""=>""estimated""",Il-Birgu,Yes,Recreation,polygon
501,,"1367176436",,,,,,,,,,,,,,garden,,,,,,,,,,Il-Birgu,Yes,Recreation,polygon
502,,"1367176437",,,,,,,,,,,,,,garden,,,,,,,,,,Il-Birgu,Yes,Recreation,polygon
503,,"1367176438",,,,,,,,,,,,,,garden,,,,,,,,,,Il-Birgu,Yes,Recreation,polygon
504,,"1367176439",,,,,,,,,,,,,,garden,,,,,,,,,,Il-Birgu,Yes,Recreation,polygon
577,,"1367519317",,,,parking,,,,,,,,,,,,,,,,,,,,Il-Birgu,Yes,Others,polygon
578,,"1416714700",,,,parking_space,,,,,,,,,,,,,,,,,,,,Il-Birgu,Yes,Others,polygon
579,,"1416714701",,,,parking_space,,,,,,,,,,,,,,,,,,,,Il-Birgu,Yes,Others,polygon
580,,"1416714702",,,,parking_space,,,,,,,,,,,,,,,,,,,,Il-Birgu,Yes,Others,polygon
581,,"1416714703",,,,,,,,,,,,,,pitch,,,,,,,,,,Il-Birgu,Yes,Recreation,polygon
583,,"1416714706",,,,parking_space,,,,,,,,,,,,,,,,,,,,Il-Birgu,Yes,Others,polygon
584,,"1436970334",,,,,,,,,,,,,,pitch,,,,,,,,,,Il-Birgu,Yes,Recreation,polygon
585,,"1441588648",,,,parking_space,,,,,,,,,,,,,,,,,,,"""capacity""=>""9""",Il-Birgu,Yes,Others,polygon
586,,"1441588649",,,,parking_space,,,,,,,,,,,,,,,,,,,,Il-Birgu,Yes,Others,polygon
593,,"1446232426",,,,,,,,,,,,,,pitch,,,,,,,,,,Il-Birgu,Yes,Recreation,polygon
594,,"1446232427",,,,,,,,,,,,,,pitch,,,,,,,,,,Il-Birgu,Yes,Recreation,polygon
595,,"1446232428",,,,,,,,,,,,,,pitch,,,,,,,,,,Il-Birgu,Yes,Recreation,polygon
596,,"1446232430",,,,parking_space,,,,,,,,,,,,,,,,,,,,Il-Birgu,Yes,Others,polygon
597,,"1446232431",,,,parking_space,,,,,,,,,,,,,,,,,,,,Il-Birgu,Yes,Others,polygon
607,"6697556",,,multipolygon,,,,,,school,,,,,,,,,,,,,,,,Tas-Sliema,Yes,Education,polygon
615,,"24361030",Independence Garden,,,,,,,,,,,,,park,,,,,,,,,,Tas-Sliema,Yes,Recreation,polygon
616,,"29495388",,,,,,,,,,,,,,swimming_pool,,,,,,,swimming,,,Tas-Sliema,Yes,Recreation,polygon
617,,"32594558",St Patrick's Salesian School,,,school,,,,school,,,,,,,,,,,,,,,,Tas-Sliema,Yes,Education,polygon
618,,"32594559",,,,parking,,,,,,,,,,,,,,,,,,,"""access""=>""private"",""parking""=>""surface""",Tas-Sliema,Yes,Others,polygon
619,,"32594868",Stella Maris Sliema Parish Church,,,place_of_worship,,,,church,,,heritage,,,,,,,,,,,,"""denomination""=>""roman_catholic"",""heritage""=>""2"",""name:en""=>""Stella Maris Parish Church"",""name:mt""=>""Knisja tal-Verġni Marija Kewkba Tal-Baħar"",""ref:nicpmi""=>""00019"",""religion""=>""christian"",""wikidata""=>""Q7607088"",""wikimedia_commons""=>""Category:Stella Maris Church (Sliema)"",""wikipedia""=>""en:Stella Maris Church, Sliema""",Tas-Sliema,Yes,Recreation,polygon
620,,"33425525",AX The Palace Hotel,,,,,,,yes,,,,,,,,,,,,,,hotel,"""addr:city""=>""Tas-Sliema"",""addr:country""=>""MT"",""addr:postcode""=>""SLM 1542"",""addr:street""=>""High Street"",""fax""=>""+356 2262 1000"",""phone""=>""+356 2133 3444"",""stars""=>""5"",""toilets:wheelchair""=>""yes"",""wheelchair""=>""yes""",Tas-Sliema,Yes,Recreation,polygon
621,,"33425527",AX The Victoria Hotel,,,,,,,hotel,,,,,,,,,,,,,,hotel,"""addr:city""=>""Tas-Sliema"",""addr:country""=>""MT"",""addr:postcode""=>""SLM 1807"",""addr:street""=>""Gorg Borg Olivier Street"",""email""=>""thevictoria@axhotelsmalta.com"",""fax""=>""+356 21 334 771"",""internet_access""=>""wlan"",""internet_access:fee""=>""no"",""operator""=>""AX Group"",""phone""=>""+356 21 334 711"",""stars""=>""4"",""website""=>""https://victoriahotel.com/"",""wheelchair""=>""yes""",Tas-Sliema,Yes,Recreation,polygon
623,,"33426681",Saint James Hospital,,,hospital,,,,hospital,,,,,,,,,,,,,,,"""addr:city""=>""Tas-Sliema"",""addr:country""=>""MT"",""addr:postcode""=>""SLM 1807"",""addr:street""=>""George Borg Olivier Street"",""check_date""=>""2024-05-22"",""emergency""=>""yes"",""healthcare""=>""hospital"",""healthcare:speciality""=>""surgery;radiology;dentistry;ophthalmology"",""internet_access""=>""wlan"",""internet_access:fee""=>""no"",""opening_hours""=>""24/7"",""operator""=>""Saint James Hospital Group"",""operator:type""=>""private"",""payment:cash""=>""yes"",""payment:credit_cards""=>""yes"",""payment:debit_cards""=>""yes"",""phone""=>""+356 2329 f1000"",""website""=>""https://stjameshospital.com/sliema/"",""wheelchair""=>""yes"",""wikidata""=>""Q7593482"",""wikipedia""=>""en:Saint James Capua Hospital""",Tas-Sliema,Yes,Medical Purpose,polygon
624,,"33426682",AX Palazzo Capua,,,,,,,hotel,,,,,,,,,,,,,,hotel,"""addr:city""=>""Tas-Sliema"",""addr:country""=>""MT"",""addr:postcode""=>""SLM 1807"",""addr:street""=>""Gorg Borg Olivier Street"",""email""=>""palazzocapua@axhotelsmalta.com"",""fax""=>""+356 2133 4771"",""internet_access""=>""wlan"",""internet_access:fee""=>""no"",""operator""=>""AX Group"",""phone""=>""+356 2133 4711"",""stars""=>""5"",""website""=>""https://palazzocapuamalta.com/"",""wheelchair""=>""limited""",Tas-Sliema,Yes,Recreation,polygon
628,,"136573391",,,,shelter,,,,,,,,,,,,,,,,,,,"""image""=>""https://photos.app.goo.gl/x67G7DAoCXuvNg7o9""",Tas-Sliema,Yes,Others,polygon
633,,"148199817",Knisja ta' San Girgor il-Kbir,,,place_of_worship,,,,yes,,,,,,,,,,,,,,,"""check_date""=>""2024-11-17"",""denomination""=>""roman_catholic"",""name:en""=>""Church of St. Gregory the Great"",""religion""=>""christian""",Tas-Sliema,Yes,Recreation,polygon
634,,"148199819",,,,,,,,,,,,,,pitch,,,,,,,soccer,,"""surface""=>""asphalt""",Tas-Sliema,Yes,Recreation,polygon
635,,"148199820",,,,,,,,,,,,,,pitch,courtyard,,,,,,,,,Tas-Sliema,Yes,Recreation,polygon
646,,"148739867",Il-Kappella tal-Madonna tal-Grazzja,,,place_of_worship,,,,yes,,,,,,,,,,,,,,,"""addr:street""=>""Triq il-Kbira"",""building:levels""=>""0"",""denomination""=>""roman_catholic"",""name:en""=>""Chapel of Our Lady of Graces"",""religion""=>""christian""",Tas-Sliema,Yes,Recreation,polygon
648,,"153030258",Il-Knisja Parrokjali tal-Madonna tas-Sacro Cuor,,,place_of_worship,,,,church,,,,,,,,,,,,,,,"""check_date""=>""2025-08-23"",""denomination""=>""roman_catholic"",""name:en""=>""Parish Church Of Sacre Cuor"",""name:mt""=>""Knisja tal-Qalb Imqaddsa ta' Marija"",""religion""=>""christian"",""website""=>""https://sacrocuorsliema.com/"",""wikidata""=>""Q7111044"",""wikimedia_commons""=>""Category:Sacro Cuor Church (Sliema)"",""wikipedia""=>""en:Our Lady of the Sacred Heart Parish Church""",Tas-Sliema,Yes,Recreation,polygon
649,,"153030264",,,,parking,,,,,,,,,,,,,,,,,,,"""access""=>""yes"",""fee""=>""no"",""parking""=>""surface""",Tas-Sliema,Yes,Others,polygon
650,,"153030271",,,,parking,,,,,,,,,,,,,,,,,,,"""access""=>""yes"",""parking""=>""surface""",Tas-Sliema,Yes,Others,polygon
651,,"153030272",Il-Batterija tas-Sliema,,,,,,,yes,,,,,,,,,,,,,,attraction,"""castle_type""=>""fortress"",""name:en""=>""Sliema Point Battery"",""name:mt""=>""Il-Batterija tas-Sliema"",""wikidata""=>""Q2294164"",""wikimedia_commons""=>""Category:Sliema Point Battery"",""wikipedia""=>""en:Sliema Point Battery""",Tas-Sliema,Yes,Recreation,polygon
652,,"153030281",Jesus of Nazareth Church,,,place_of_worship,,,,church,,,,,,,,,,,,,,,"""denomination""=>""roman_catholic"",""religion""=>""christian"",""wikidata""=>""Q24561661"",""wikimedia_commons""=>""Category:Knisja Parrokkjali Gesu' Nazzarenu""",Tas-Sliema,Yes,Recreation,polygon
653,,"153030283",F.C. Sliema Wanderers,,,,,,,,,,,,,pitch,,,,,,,soccer,,"""building:levels""=>""1"",""layer""=>""1"",""level""=>""1"",""lit""=>""yes"",""surface""=>""artificial_turf""",Tas-Sliema,Yes,Recreation,polygon
655,,"156491557",Ġnien George Bonello Dupuis,,,,,,,,,,,,grass,park,,,,,,,,,,Tas-Sliema,Yes,Recreation,polygon
656,,"164627045",Venture Trading,,,,,,,office,,,,,,,,,,,,mall,,,"""addr:housename""=>""Venture Trading"",""addr:housenumber""=>""1"",""addr:postcode""=>""SLM2051"",""addr:street""=>""Blanche Street"",""building:levels""=>""2"",""designation""=>""Shop""",Tas-Sliema,Yes,Shopping,polygon
658,,"172647467",,,,parking,,,,,,,,,,,,,,,,,,,"""parking""=>""surface""",Tas-Sliema,Yes,Others,polygon
659,,"197672347",The Point,,,,,,,retail,,,,,,,,,,,,mall,,,"""addr:street""=>""Tigné Point"",""alt_name""=>""The Point Shopping Mall;Tigne Point;Tigne Point Mall;The Point Mall"",""building:levels""=>""4"",""check_date""=>""2025-07-24"",""email""=>""info@thepointmalta.com"",""level""=>""0"",""name:ar""=>""ذا بوينت"",""opening_hours""=>""Mo-Sa 10:00-19:30; Su 11:00-18:00"",""phone""=>""+356 2247 0300"",""toilets""=>""no"",""toilets:wheelchair""=>""yes"",""website""=>""https://www.thepointmalta.com/"",""wheelchair""=>""yes"",""wikidata""=>""Q18225087"",""wikimedia_commons""=>""Category:The Point (Sliema)""",Tas-Sliema,Yes,Shopping,polygon
660,,"197890548",Plaza Regency Hotel,,,,,,,yes,,,,,,,,,,,,,,hotel,"""addr:city""=>""Tas-Sliema"",""addr:country""=>""MT"",""addr:housenumber""=>""251"",""addr:street""=>""Tower Road"",""hotel""=>""apartment_hotel"",""level""=>""1"",""website""=>""https://www.plazahotelsmalta.com/""",Tas-Sliema,Yes,Recreation,polygon
663,,"197890553",Plaza Regency Hotel,,,,,,,yes,,,,,,,,,,,,,,hotel,"""addr:city""=>""Tas-Sliema"",""addr:country""=>""MT"",""addr:street""=>""Tower Road"",""hotel""=>""apartment_hotel"",""level""=>""1"",""website""=>""https://www.plazahotelsmalta.com/""",Tas-Sliema,Yes,Recreation,polygon
678,,"197890571",,,,,,,,yes,,,,,,,,,,,,,,hotel,,Tas-Sliema,Yes,Recreation,polygon
685,,"197890580",Plaza Regency Hotel,,,,,,,yes,,,,,,,,,,,,,,hotel,"""addr:city""=>""Tas-Sliema"",""addr:country""=>""MT"",""addr:housenumber""=>""248"",""addr:street""=>""Tower Road"",""hotel""=>""apartment_hotel"",""level""=>""1"",""website""=>""https://www.plazahotelsmalta.com/""",Tas-Sliema,Yes,Recreation,polygon
687,,"222742475",,,,,,,,,,,,,,swimming_pool,,,,,,,,,"""access""=>""private""",Tas-Sliema,Yes,Recreation,polygon
688,,"222742476",,,,,,,,,,,,,,swimming_pool,,,,,,,,,"""access""=>""private"",""wheelchair""=>""no""",Tas-Sliema,Yes,Recreation,polygon
689,,"224009582",Peppi's,,,restaurant,,,,yes,,,,,,,,,,,,,,,"""check_date""=>""2023-06-21"",""contact:facebook""=>""https://www.facebook.com/peppisbardinner/"",""cuisine""=>""pizza"",""phone""=>""+356 2133 5621""",Tas-Sliema,Yes,Recreation,polygon
690,,"224009586",Fresco's Cafe & Restaurant,,,restaurant,,,,yes,,,,,,,,,,,,,,,"""addr:postcode""=>""SLM 1600"",""addr:street""=>""Triq it-Torri"",""check_date""=>""2025-02-20"",""check_date:diet:vegan""=>""2025-02-20"",""check_date:diet:vegetarian""=>""2025-02-20"",""check_date:smoking""=>""2025-02-20"",""contact:facebook""=>""100057359512146"",""contact:phone""=>""+356 2734 4763"",""contact:website""=>""https://www.frescosmalta.com"",""cuisine""=>""burger;mediterranean;noodles;seafood"",""diet:vegan""=>""no"",""diet:vegetarian""=>""yes"",""email""=>""info@frescosmalta.com"",""opening_hours""=>""Mo-Su 12:00-22:00"",""smoking""=>""no"",""website:menu""=>""https://www.frescosmalta.com/menu"",""wheelchair""=>""no""",Tas-Sliema,Yes,Recreation,polygon
693,,"224009610",,,,,,,,,,,,,,swimming_pool,,,,,,,,,,Tas-Sliema,Yes,Recreation,polygon
694,,"224009617",,,,,,,,,,,,,,swimming_pool,,,,,,,,,,Tas-Sliema,Yes,Recreation,polygon
699,,"275632445",,,,toilets,,,,yes,,,,,,,,,,,,,,,,Tas-Sliema,Yes,Personal Errands,polygon
700,,"275632446",,,,,,,,,,,,,,playground,,,,,,,,,"""access""=>""yes""",Tas-Sliema,Yes,Recreation,polygon
701,,"275632447",,,,,,,,,,,,,,playground,,,,,,,,,,Tas-Sliema,Yes,Recreation,polygon
