fid,osm_id,name,barrier,highway,ref,address,is_in,place,man_made,other_tags,name_2,trip_category,keep_for_od,feature_source
80,"3688282750",Locomobil,,,,,,,,"""historic""=>""technical_monument"",""image""=>""https://www.flickr.com/photos/33766294@N03/20242735290/""",Il-Birgu,Recreation,Yes,point
82,"11221766417",,,,,,,,tower,"""tower:type""=>""bell_tower"",""wikimedia_commons""=>""File:Public clock (37875334421).jpg""",Il-Birgu,Others,Yes,point
83,"12652089716",Tommy‘s Self Service,,,,,,,,"""opening_hours""=>""Mo-Sa 07:00-19:30; Su 08:00-13:00"",""phone""=>""+356 2169 7932"",""shop""=>""convenience""",Il-Birgu,Shopping,Yes,point
84,"2485598065",Boa Steak and Lobster House,,,,,,,,"""addr:city""=>""Il-Birgu (Vittoriosa)"",""addr:country""=>""MT"",""addr:housename""=>""Vault 5, Old Treasury Building"",""addr:postcode""=>""BRG 1721"",""addr:street""=>""Ix-Xatt tal-Birgu"",""amenity""=>""restaurant"",""cuisine""=>""steak_house;seafood"",""email""=>""info@boamalta.com"",""mobile""=>""+356 7954 2926"",""opening_hours""=>""Mo-Su 12:00-23:00"",""website""=>""https://www.facebook.com/BoaMalta""",Il-Birgu,Recreation,Yes,point
85,"12652089715",Carissima,,,,,,,,"""shop""=>""beauty""",Il-Birgu,Shopping,Yes,point
87,"9989026317",Fra Divino,,,,,,,,"""addr:street""=>""Triq l-Assedju l-Kbir 1565"",""amenity""=>""restaurant"",""cuisine""=>""maltese"",""mobile""=>""+356 9937 3311"",""opening_hours""=>""Mo-Su 10:30-22:00"",""website""=>""https://www.fradivino.com/""",Il-Birgu,Recreation,Yes,point
88,"5250351149",,bollard,,,,,,,"""bollard""=>""fixed""",Il-Birgu,Others,Yes,point
89,"2485604338",Sottovento Ristorante Pizzeria,,,,,,,,"""addr:city""=>""Il-Birgu (Vittoriosa)"",""addr:country""=>""MT"",""addr:housename""=>""Old Treasury Building"",""addr:postcode""=>""BRG 1721"",""addr:street""=>""Ix-Xatt tal-Birgu"",""amenity""=>""restaurant"",""contact:facebook""=>""https://www.facebook.com/FishSteaksKitchen/"",""cuisine""=>""italian"",""indoor_seating""=>""yes"",""opening_hours""=>""Tu-Fr 12:00-23:00; Sa-Mo 12:00-23:30"",""outdoor_seating""=>""yes"",""phone""=>""+356 2180 8990""",Il-Birgu,Recreation,Yes,point
90,"5435838854",Don Berto,,,,,,,,"""amenity""=>""restaurant"",""cuisine""=>""mediterranean"",""opening_hours""=>""Mo-Tu 06:30-22:30; We-Su 12:00-15:00; 18:30-22:00"",""phone""=>""+35621808008"",""website""=>""https://donberto.com/""",Il-Birgu,Recreation,Yes,point
91,"5235295847",,bollard,,,,,,,,Il-Birgu,Others,Yes,point
92,"2485605683",Cargo Bar & Dine,,,,,,,,"""addr:city""=>""Il-Birgu (Vittoriosa)"",""addr:country""=>""MT"",""addr:postcode""=>""BRG 1721"",""addr:street""=>""Ix-Xatt tal-Birgu"",""amenity""=>""restaurant"",""mobile""=>""+356 9997 7666"",""website""=>""https://www.facebook.com/cargo.birgu""",Il-Birgu,Recreation,Yes,point
93,"246586117",,,,,,,,,"""kerb""=>""no""",Il-Birgu,Others,Yes,point
94,"12653995623",,,,,,,,,"""historic""=>""cannon""",Il-Birgu,Recreation,Yes,point
95,"12653995624",,,,,,,,,"""historic""=>""cannon""",Il-Birgu,Recreation,Yes,point
96,"12653995625",,,,,,,,,"""historic""=>""cannon""",Il-Birgu,Recreation,Yes,point
99,"6948511785",Birgi,,,,,,,,"""addr:housenumber""=>""97"",""addr:street""=>""Triq San Lawrenz"",""amenity""=>""restaurant"",""cuisine""=>""coffee_shop;breakfast;local;fish_and_chips;burger;hot_dog;sandwich;pasta"",""mobile""=>""+356 7947 6714""",Il-Birgu,Recreation,Yes,point
101,"11591853845",M'S Handmade Filigree & Souvenirs,,,,,,,,"""addr:housenumber""=>""97"",""addr:street""=>""Triq San Lawrenz"",""shop""=>""gift""",Il-Birgu,Shopping,Yes,point
105,"12647024778",,,,,,,,,"""artwork_type""=>""sculpture"",""tourism""=>""artwork""",Il-Birgu,Recreation,Yes,point
106,"12647281048",M's Cafe,,,,,,,,"""amenity""=>""cafe"",""cuisine""=>""coffee_shop""",Il-Birgu,Recreation,Yes,point
108,"11591856174",,,,,,,,,"""information""=>""board"",""inscription:en""=>""Bettina Palace - This was the residence of Bettina Testaferrata Dorell, a member of one of the Island's noble families. In this palace, St Emilia de Vialar established the Congregation of the Sisters of St Joseph of the Apparition in 1842 [...]"",""tourism""=>""information""",Il-Birgu,Recreation,Yes,point
109,"2803604226",,,,"166",,,,,"""amenity""=>""post_box"",""check_date""=>""2025-02-21"",""collection_times""=>""Mo-Sa 7:00"",""operator""=>""MaltaPost"",""operator:wikidata""=>""Q4171158"",""post_box:type""=>""wall"",""website""=>""https://www.maltapost.com""",Il-Birgu,Personal Errands,Yes,point
110,"11591832353",,,,,,,,,"""historic""=>""memorial"",""inscription:en""=>""1758-1843 Fabricius Cardinal Sceberras Testaferrata was born in this house."",""memorial""=>""plaque""",Il-Birgu,Recreation,Yes,point
111,"11591834849",Sottozero,,,,,,,,"""addr:housenumber""=>""95"",""addr:street""=>""Triq San Lawrenz"",""amenity""=>""ice_cream"",""opening_hours""=>""Mo-Su 07:00-01:00"",""outdoor_seating""=>""yes"",""phone""=>""+35627690090"",""smoking""=>""outside"",""website""=>""https://sottozerofactory.com/""",Il-Birgu,Recreation,Yes,point
112,"9913815171",,,,,,,,,"""attraction""=>""train""",Il-Birgu,Others,Yes,point
113,"12647024748",,,,,,,,flagpole,,Il-Birgu,Others,Yes,point
114,"3363135396",31st March 1979 - Freedom Day,,,,,,,,"""historic""=>""monument""",Il-Birgu,Recreation,Yes,point
115,"11591850631",,,,,,,,guard_stone,,Il-Birgu,Others,Yes,point
116,"2803604219",Water Taxi,,,,,,,,"""amenity""=>""ferry_terminal"",""cargo""=>""passengers"",""ferry""=>""yes"",""public_transport""=>""station"",""wheelchair""=>""no""",Il-Birgu,Others,Yes,point
117,"2485599583",Birgu Candlelight Company,,,,,,,,"""mobile""=>""+356 7905 6171"",""shop""=>""candles"",""website""=>""https://www.birgucandles.mt/""",Il-Birgu,Shopping,Yes,point
118,"11591825367",,,,,,,,,"""boot_scraper""=>""both"",""entrance""=>""no""",Il-Birgu,Others,Yes,point
119,"1497538838",,,,,,,,,"""amenity""=>""ferry_terminal"",""ferry""=>""yes"",""public_transport""=>""station"",""wheelchair""=>""no""",Il-Birgu,Others,Yes,point
122,"690896516",,,,,,,,,"""foot""=>""yes"",""motor_vehicle""=>""private""",Il-Birgu,Others,Yes,point
124,"11591821587",,,,,,,,,"""boot_scraper""=>""both"",""entrance""=>""main""",Il-Birgu,Others,Yes,point
127,"12649143205",Home Made in Gozo,,,,,,,,"""addr:housenumber""=>""84"",""addr:street""=>""Triq Nestu Laiviera"",""shop""=>""yes""",Il-Birgu,Shopping,Yes,point
128,"12649143210",Oratory of the Holy Cross,,,,,,,,"""amenity""=>""place_of_worship"",""religion""=>""christian""",Il-Birgu,Recreation,Yes,point
129,"12653995626",,,,,,,,,"""historic""=>""cannon""",Il-Birgu,Recreation,Yes,point
130,"12653995627",,,,,,,,,"""historic""=>""cannon""",Il-Birgu,Recreation,Yes,point
131,"12653995628",,,,,,,,,"""historic""=>""cannon""",Il-Birgu,Recreation,Yes,point
132,"12653995629",,,,,,,,,"""historic""=>""cannon""",Il-Birgu,Recreation,Yes,point
133,"12653995630",,,,,,,,,"""historic""=>""cannon""",Il-Birgu,Recreation,Yes,point
134,"12653995631",,,,,,,,,"""historic""=>""cannon""",Il-Birgu,Recreation,Yes,point
137,"3838472005",,gate,,,,,,,,Il-Birgu,Others,Yes,point
138,"1276538769",,gate,,,,,,,,Il-Birgu,Others,Yes,point
139,"2269132352",Malta at War Museum,,,,,,,,"""addr:postcode""=>""BRG 1810"",""addr:street""=>""Triq Couvre Porte"",""designation""=>""WW2 Museum"",""tourism""=>""museum"",""website""=>""https://www.maltaatwarmuseum.com/"",""wikidata""=>""Q22082174"",""wikimedia_commons""=>""Category:Malta at War Museum"",""wikipedia""=>""en:Malta at War Museum""",Il-Birgu,Recreation,Yes,point
141,"1513452539",Couvre de Porte,,,,,,,,"""historic""=>""castle""",Il-Birgu,Recreation,Yes,point
142,"5104661822",Café Riche,,,,,,,,"""amenity""=>""cafe"",""name:en""=>""Café Riche""",Il-Birgu,Recreation,Yes,point
146,"293526086",,gate,,,,,,,,Il-Birgu,Others,Yes,point
147,"4884513421",,,,,,,,,"""amenity""=>""toilets"",""fee""=>""no"",""wheelchair""=>""yes""",Il-Birgu,Personal Errands,Yes,point
148,"293526088",,gate,,,,,,,,Il-Birgu,Others,Yes,point
150,"293526090",Gate du Provence,gate,,,,,,,,Il-Birgu,Others,Yes,point
153,"2476831682",In Guardia / Alarme re-enactments,,,,,,,,"""amenity""=>""theatre"",""description""=>""see website for detailed schedule"",""fee""=>""yes"",""opening_hours""=>""Sep-Jul: Su 11:00-12:00"",""website""=>""https://heritagemalta.mt/whats-on/in-guardia-fort-st-elmo-and-the-national-war-museum/""",Il-Birgu,Recreation,Yes,point
154,"5202190970",,bollard,,,,,,,,Il-Birgu,Others,Yes,point
155,"7139234093",Trucco & Parrucco,,,,,,,,"""opening_hours""=>""Tu,Th 15:00-23:00; We,Fr 09:00-17:00; Sa 09:00-18:00"",""shop""=>""hairdresser""",Il-Birgu,Shopping,Yes,point
156,"8434087771",Uffiċċju tal-Prinċipal - Kulleġġ Santa Margerita,,,,,,,,"""amenity""=>""school"",""name:mt""=>""Ufficcju tal-Principal - Kullegg Santa Margerita""",Il-Birgu,Education,Yes,point
157,"5245619170",,,,,,,,,"""amenity""=>""post_box"",""collection_times""=>""Mo-Fr 07:00; Sa 07:00"",""operator""=>""MaltaPost"",""operator:wikidata""=>""Q4171158"",""royal_cypher""=>""EVIIR"",""website""=>""https://www.maltapost.com""",Il-Birgu,Personal Errands,Yes,point
158,"11329061288",,,,,,,,,"""information""=>""map"",""tourism""=>""information""",Il-Birgu,Recreation,Yes,point
167,"12651728308",Del Borgo,,,,,,,,"""addr:housenumber""=>""33"",""addr:street""=>""Triq San Duminku"",""amenity""=>""restaurant"",""cuisine""=>""meltese"",""opening_hours""=>""Mo-Sa 06:00-24:00"",""phone""=>""+35621803710"",""website""=>""https://delborgomalta.com/""",Il-Birgu,Recreation,Yes,point
168,"12651728309",The Prince Bar & Lounge,,,,,,,,"""addr:housenumber""=>""38"",""addr:street""=>""Triq il-Mina il-Kbira"",""amenity""=>""bar"",""website""=>""https://www.theprincebarlounge.com/""",Il-Birgu,Recreation,Yes,point
169,"12651728310",Gemstones,,,,,,,,"""mobile""=>""+356 9982 2592"",""opening_hours""=>""Mo-Sa 10:30-19:00"",""shop""=>""jewelry"",""website""=>""https://gemstonesbirgu.com/""",Il-Birgu,Shopping,Yes,point
170,"13207221936",Torri ta San Gwann,,,,,,,tower,"""tower:type""=>""defensive""",Il-Birgu,Others,Yes,point
171,"13207221937",Birgu Scouts,,,,,,,,"""club""=>""scout""",Il-Birgu,Others,Yes,point
172,"12649685423",Taste Malta,,,,,,,,"""amenity""=>""cafe"",""cuisine""=>""coffee_shop"",""outdoor_seating""=>""yes""",Il-Birgu,Recreation,Yes,point
173,"12649595751",Birds Empire and More,,,,,,,,"""shop""=>""pet"",""website""=>""https://www.birdsempirenmore.com/""",Il-Birgu,Shopping,Yes,point
174,"12649595750",Chapel of Our Lady of Damascus,,,,,,,,"""amenity""=>""place_of_worship"",""religion""=>""christian""",Il-Birgu,Recreation,Yes,point
175,"293534852",Oratorju San Ġużepp,,,,,,,,"""fee""=>""yes"",""tourism""=>""museum""",Il-Birgu,Recreation,Yes,point
176,"293534850",,,,,,,,,"""historic""=>""monument"",""survey_point""=>""suppl""",Il-Birgu,Recreation,Yes,point
177,"8750238712",,,,,,,,,"""amenity""=>""atm"",""brand""=>""BOV"",""check_date""=>""2025-10-31"",""level""=>""0"",""opening_hours""=>""24/7"",""operator""=>""BOV"",""wheelchair""=>""yes""",Il-Birgu,Personal Errands,Yes,point
178,"12459274235",,,,,,,,,"""amenity""=>""letter_box""",Il-Birgu,Others,Yes,point
179,"11591852867",Champ Pastizzeria,,,,,,,,"""addr:housenumber""=>""31"",""amenity""=>""fast_food"",""cuisine""=>""pastizze"",""opening_hours""=>""Mo-Su 06:00-16:30"",""phone""=>""+3562746 5796""",Il-Birgu,Recreation,Yes,point
180,"12649595752",Full House,,,,,,,,"""addr:housenumber""=>""6"",""addr:street""=>""Triq Desain"",""amenity""=>""restaurant"",""cuisine""=>""polish"",""mobile""=>""+356 7770 6591"",""opening_hours""=>""Tu-Sa 13:30-21:00""",Il-Birgu,Recreation,Yes,point
182,"6283121887",Euronet,,,,,,,,"""amenity""=>""atm"",""brand""=>""Euronet"",""brand:wikidata""=>""Q5412010"",""brand:wikipedia""=>""en:Euronet Worldwide"",""opening_hours""=>""24/7"",""operator""=>""Euronet"",""operator:wikidata""=>""Q5412010"",""operator:wikipedia""=>""en:Euronet Worldwide""",Il-Birgu,Personal Errands,Yes,point
183,"5202190986",,,,,,,,,"""amenity""=>""telephone""",Il-Birgu,Personal Errands,Yes,point
184,"2803604216",Pulizija Vittoriosa,,,,,,,,"""amenity""=>""police"",""name:it""=>""Polizia"",""operator""=>""Pulizija ta' Malta"",""operator:wikidata""=>""Q2413538"",""operator:wikipedia""=>""en:Malta Police Force""",Il-Birgu,Personal Errands,Yes,point
185,"11591853844",,,,,,,,guard_stone,,Il-Birgu,Others,Yes,point
186,"11591832352",,,,,,,,guard_stone,,Il-Birgu,Others,Yes,point
187,"2485614282",Il-Girbi,,,,,,,,"""addr:city""=>""Il-Birgu (Vittoriosa)"",""addr:country""=>""MT"",""addr:housenumber""=>""2"",""addr:postcode""=>""BRG 1425"",""addr:street""=>""Triq La Vallette"",""amenity""=>""restaurant"",""internet_access""=>""wlan"",""phone""=>""+35621808938"",""website""=>""https://ilgirbi.com/""",Il-Birgu,Recreation,Yes,point
188,"11591811214",,,,,,,,guard_stone,,Il-Birgu,Others,Yes,point
189,"11591847575",,,,,,,,guard_stone,,Il-Birgu,Others,Yes,point
190,"2803604217",Vittoriosa Desain,,,VTTR001,,,,,"""operator""=>""Enemalta"",""operator:wikidata""=>""Q1341101"",""operator:wikipedia""=>""en:Enemalta"",""power""=>""transformer""",Il-Birgu,Others,Yes,point
191,"2334290384",Cafe du Brazil,,,,,,,,"""addr:city""=>""Il-Birgu (Vittoriosa)"",""addr:country""=>""MT"",""amenity""=>""cafe"",""indoor_seating""=>""yes"",""mobile""=>""+356 9995 7997"",""opening_hours""=>""Mo-Su 07:00-19:00"",""outdoor_seating""=>""yes"",""website""=>""https://www.facebook.com/pages/Cafe-Du-Brazil-Birgu/148177598583671""",Il-Birgu,Recreation,Yes,point
192,"6283122085",Main Square,,,,,,,,"""amenity""=>""restaurant"",""cuisine""=>""maltese"",""opening_hours""=>""Mo-Su 07:00-23:00"",""phone""=>""+35621801671""",Il-Birgu,Recreation,Yes,point
193,"2941015927",Bebirgu,,,,,,,,"""addr:housenumber""=>""11"",""addr:street""=>""Misraħ ir-Rebħa"",""amenity""=>""restaurant"",""capacity""=>""50"",""cuisine""=>""regional"",""opening_hours""=>""Mo-Su 07:00-23:00"",""phone""=>""+35621808022""",Il-Birgu,Recreation,Yes,point
194,"12650867868",Partit Laburista,,,,,,,,"""office""=>""political_party""",Il-Birgu,Commuting to work,Yes,point
195,"2476972115",dCentre,,,,,,,,"""addr:city""=>""Il-Birgu (Vittoriosa)"",""addr:country""=>""MT"",""addr:housenumber""=>""2"",""addr:street""=>""Triq il-Mina il-Kbira"",""amenity""=>""restaurant"",""contact:facebook""=>""https://www.facebook.com/dcentre.birgu.malta/"",""internet_access""=>""wlan"",""opening_hours""=>""Mo-Th 10:00-22:30; Fr-Sa 10:00-23:00; Su 09:00-22:30"",""outdoor_seating""=>""yes"",""phone""=>""+356 2701 7470"",""website""=>""https://www.facebook.com/dcentre.birgu.malta/"",""wheelchair""=>""yes""",Il-Birgu,Recreation,Yes,point
196,"12651148029",Vittoriosa Pharmacy,,,,,,,,"""phone""=>""+35621807529"",""shop""=>""chemist""",Il-Birgu,Shopping,Yes,point
197,"12651837771",Step In Stationery,,,,,,,,"""addr:housenumber""=>""31"",""addr:street""=>""Triq Nestu Laiviera"",""phone""=>""+35621801207"",""shop""=>""yes""",Il-Birgu,Shopping,Yes,point
198,"12651837797",Mifsud Garage Ironmongery,,,,,,,,"""shop""=>""hardware""",Il-Birgu,Shopping,Yes,point
199,"12651880225",Franka Lira Malla,,,,,,,,"""shop""=>""yes""",Il-Birgu,Shopping,Yes,point
200,"12658270859",Heartwork,,,,,,,,"""addr:housenumber""=>""56"",""addr:street""=>""Triq Il-Mina"",""opening_hours""=>""We-Su 10:00-16:00"",""shop""=>""clothes"",""website""=>""https://www.facebook.com/profile.php?id=100083217554432""",Il-Birgu,Shopping,Yes,point
202,"7190224585",,,,,,,,,"""information""=>""office"",""tourism""=>""information""",Il-Birgu,Recreation,Yes,point
203,"6220843185","Il Collachio;Il Collacchio",,,,,,,,"""tourism""=>""attraction;gallery""",Il-Birgu,Recreation,Yes,point
204,"293534848",Inquisitor's Palace,,,,,,,,"""addr:city""=>""Il-Birgu (Vittoriosa)"",""addr:country""=>""MT"",""addr:postcode""=>""BRG 1023"",""addr:street""=>""Main Gate Street"",""contact:email""=>""info@heritagemalta.org"",""contact:phone""=>""+356 21 827 006"",""fee""=>""yes"",""museum""=>""history"",""name:de""=>""Palast des Inquisitors"",""name:fr""=>""Palais de l'Inquisiteur"",""name:mt""=>""Il-Palazz tal-Inkwiżitur"",""name:pl""=>""Pałac Inkwizytora"",""opening_hours""=>""Mo-Su 09:00-17:00"",""tourism""=>""museum"",""website""=>""https://heritagemalta.org/the-inquisitors-palace/"",""wikidata""=>""Q3361044"",""wikimedia_commons""=>""Category:Inquisitor's Palace in Birgu"",""wikipedia""=>""en:Inquisitor's Palace""",Il-Birgu,Recreation,Yes,point
206,"5590784922",Auberge d’Auvergne et de Provence,,,,,,,,"""historic""=>""monument"",""name:fr""=>""Auberge d’Auvergne et de Provence"",""wikidata""=>""Q16252175"",""wikimedia_commons""=>""Category:Auberge d'Auvergne et Provence (Birgu)"",""wikipedia""=>""en:Auberge d'Auvergne et Provence""",Il-Birgu,Recreation,Yes,point
207,"6236973586",Brincellu Bar,,,,,,,,"""addr:street""=>""Triq il-Majjistral"",""amenity""=>""bar"",""opening_hours""=>""We-Sa 18:30-21:30; Su 10:30-16:00""",Il-Birgu,Recreation,Yes,point
208,"12116504165",,bollard,,,,,,,"""bollard""=>""removable""",Il-Birgu,Others,Yes,point
209,"5590796921",,,,,,,,,"""historic""=>""monument"",""name:fr""=>""Auberge d’Angleterre"",""wikidata""=>""Q16252165"",""wikimedia_commons""=>""Category:Auberge d'Angleterre (Birgu)"",""wikipedia""=>""en:Auberge d'Angleterre""",Il-Birgu,Recreation,Yes,point
210,"293529473",The Executioner's House,,,,,,,,"""name:de""=>""Das Haus des Henkers"",""tourism""=>""attraction""",Il-Birgu,Recreation,Yes,point
211,"5590784923",,,,,,,,,"""historic""=>""memorial"",""name:fr""=>""Auberge de France"",""subject:wikidata""=>""Q16962910"",""subject:wikipedia""=>""http://en.wikipedia.org/wiki/Auberge de France, Birgu"",""wikimedia_commons""=>""Category:Auberge de France (Birgu)""",Il-Birgu,Recreation,Yes,point
212,"6659782485",Tal-Petut Restaurant,,,,,,,,"""addr:housenumber""=>""20"",""addr:street""=>""Triq Pacifiku Scicluna"",""amenity""=>""restaurant"",""cuisine""=>""maltese"",""opening_hours""=>""Mo-Sa 18:30-22:00"",""phone""=>""35621891169"",""website""=>""https://www.talpetut.com/""",Il-Birgu,Recreation,Yes,point
213,"4190296764",Locanda La Gelsomina,,,,,,,,"""addr:city""=>""Il-Birgu (Vittoriosa)"",""addr:country""=>""MT"",""addr:housenumber""=>""3"",""addr:postcode""=>""BRG 1131"",""addr:street""=>""Triq il-Kunsill Popolari"",""phone""=>""+356 2180 7897"",""tourism""=>""hotel"",""website""=>""https://www.locandalagelsomina.com/""",Il-Birgu,Recreation,Yes,point
214,"2530469486",Indulgence Divine,,,,,,,,"""addr:city""=>""Il-Birgu (Vittoriosa)"",""addr:country""=>""MT"",""addr:postcode""=>""BRG 1105"",""addr:street""=>""Triq Alessandru VII"",""tourism""=>""hotel"",""website""=>""https://www.indulgencedivine.com/""",Il-Birgu,Recreation,Yes,point
216,"11591823060",Id-Dar Normanna (Triq it-Tramuntata),,,,,,,,"""direction""=>""280"",""information""=>""board"",""inscription:en""=>""This House with Siculo-Norman features was built in the 13th Century. Prominent is the double-light window with Gothic arcading and the Norman style friezing along the façade."",""name:en""=>""The Norman House (North Street)"",""tourism""=>""information""",Il-Birgu,Recreation,Yes,point
218,"12651726180",Taste of Vietnam,,,,,,,,"""addr:housenumber""=>""24"",""addr:street""=>""Triq Alessandru VII"",""amenity""=>""restaurant"",""cuisine""=>""vietnamese"",""opening_hours""=>""Tu-Sa 13:00-22:00; Su 11:00-18:00"",""phone""=>""+35621806868"",""website""=>""https://www.facebook.com/tasteofvietnam.asiancuisine""",Il-Birgu,Recreation,Yes,point
219,"12651726181",Fanu Butcher,,,,,,,,"""addr:housenumber""=>""46"",""addr:street""=>""Triq Alessandru VII"",""mobile""=>""+356 7927 8254"",""opening_hours""=>""Mo-Fr 08:00-18:30; Sa 07:00-14:00"",""shop""=>""butcher""",Il-Birgu,Shopping,Yes,point
220,"5590796821",Auberge de Castille et Portugal,,,,,,,,"""historic""=>""monument"",""name:fr""=>""Auberge de Castille et Portugal"",""wikidata""=>""Q16252180"",""wikipedia""=>""en:Auberge de Castille et Portugal""",Il-Birgu,Recreation,Yes,point
221,"5245619171",,bollard,,,,,,,"""bollard""=>""fixed""",Il-Birgu,Others,Yes,point
223,"246586387",,,,,,,,,"""noexit""=>""yes""",Il-Birgu,Others,Yes,point
224,"1276539021",,bollard,,,,,,,"""bicycle""=>""yes"",""foot""=>""yes""",Il-Birgu,Others,Yes,point
225,"1513473056",Bastion Castille,,,,,,,,"""historic""=>""castle""",Il-Birgu,Recreation,Yes,point
