fid,osm_id,name,barrier,highway,ref,address,is_in,place,man_made,other_tags,name_2,trip_category,keep_for_od
124,"11591821587",,,,,,,,,"""boot_scraper""=>""both"",""entrance""=>""main""",Il-Birgu,Others,Yes
127,"12649143205",Home Made in Gozo,,,,,,,,"""addr:housenumber""=>""84"",""addr:street""=>""Triq Nestu Laiviera"",""shop""=>""yes""",Il-Birgu,Shopping,Yes
128,"12649143210",Oratory of the Holy Cross,,,,,,,,"""amenity""=>""place_of_worship"",""religion""=>""christian""",Il-Birgu,Recreation,Yes
129,"12653995626",,,,,,,,,"""historic""=>""cannon""",Il-Birgu,Others,Yes
130,"12653995627",,,,,,,,,"""historic""=>""cannon""",Il-Birgu,Others,Yes
131,"12653995628",,,,,,,,,"""historic""=>""cannon""",Il-Birgu,Others,Yes
132,"12653995629",,,,,,,,,"""historic""=>""cannon""",Il-Birgu,Others,Yes
133,"12653995630",,,,,,,,,"""historic""=>""cannon""",Il-Birgu,Others,Yes
134,"12653995631",,,,,,,,,"""historic""=>""cannon""",Il-Birgu,Others,Yes
135,"6705430040",,,,,,,,,"""amenity""=>""fountain""",Il-Birgu,Others,Yes
139,"2269132352",Malta at War Museum,,,,,,,,"""addr:postcode""=>""BRG 1810"",""addr:street""=>""Triq Couvre Porte"",""designation""=>""WW2 Museum"",""tourism""=>""museum"",""website""=>""https://www.maltaatwarmuseum.com/"",""wikidata""=>""Q22082174"",""wikimedia_commons""=>""Category:Malta at War Museum"",""wikipedia""=>""en:Malta at War Museum""",Il-Birgu,Recreation,Yes
141,"1513452539",Couvre de Porte,,,,,,,,"""historic""=>""castle""",Il-Birgu,Recreation,Yes
142,"5104661822",Café Riche,,,,,,,,"""amenity""=>""cafe"",""name:en""=>""Café Riche""",Il-Birgu,Recreation,Yes
145,"5202190973",,,,,,,,,"""amenity""=>""recycling"",""recycling_type""=>""container""",Il-Birgu,Others,Yes
147,"4884513421",,,,,,,,,"""amenity""=>""toilets"",""fee""=>""no"",""wheelchair""=>""yes""",Il-Birgu,Personal Errands,Yes
153,"2476831682",In Guardia / Alarme re-enactments,,,,,,,,"""amenity""=>""theatre"",""description""=>""see website for detailed schedule"",""fee""=>""yes"",""opening_hours""=>""Sep-Jul: Su 11:00-12:00"",""website""=>""https://heritagemalta.mt/whats-on/in-guardia-fort-st-elmo-and-the-national-war-museum/""",Il-Birgu,Recreation,Yes
155,"7139234093",Trucco & Parrucco,,,,,,,,"""opening_hours""=>""Tu,Th 15:00-23:00; We,Fr 09:00-17:00; Sa 09:00-18:00"",""shop""=>""hairdresser""",Il-Birgu,Shopping,Yes
156,"8434087771",Uffiċċju tal-Prinċipal - Kulleġġ Santa Margerita,,,,,,,,"""amenity""=>""school"",""name:mt""=>""Ufficcju tal-Principal - Kullegg Santa Margerita""",Il-Birgu,Education,Yes
157,"5245619170",,,,,,,,,"""amenity""=>""post_box"",""collection_times""=>""Mo-Fr 07:00; Sa 07:00"",""operator""=>""MaltaPost"",""operator:wikidata""=>""Q4171158"",""royal_cypher""=>""EVIIR"",""website""=>""https://www.maltapost.com""",Il-Birgu,Personal Errands,Yes
158,"11329061288",,,,,,,,,"""information""=>""map"",""tourism""=>""information""",Il-Birgu,Recreation,Yes
160,"11916167847",,,,,,,,,"""amenity""=>""bench""",Il-Birgu,Others,Yes
161,"11916167848",,,,,,,,,"""amenity""=>""bench""",Il-Birgu,Others,Yes
162,"11916167849",,,,,,,,,"""amenity""=>""bench""",Il-Birgu,Others,Yes
163,"11916167850",,,,,,,,,"""amenity""=>""bench""",Il-Birgu,Others,Yes
164,"11916167851",,,,,,,,,"""amenity""=>""bench""",Il-Birgu,Others,Yes
165,"11916167852",,,,,,,,,"""amenity""=>""bench""",Il-Birgu,Others,Yes
167,"12651728308",Del Borgo,,,,,,,,"""addr:housenumber""=>""33"",""addr:street""=>""Triq San Duminku"",""amenity""=>""restaurant"",""cuisine""=>""meltese"",""opening_hours""=>""Mo-Sa 06:00-24:00"",""phone""=>""+35621803710"",""website""=>""https://delborgomalta.com/""",Il-Birgu,Recreation,Yes
168,"12651728309",The Prince Bar & Lounge,,,,,,,,"""addr:housenumber""=>""38"",""addr:street""=>""Triq il-Mina il-Kbira"",""amenity""=>""bar"",""website""=>""https://www.theprincebarlounge.com/""",Il-Birgu,Recreation,Yes
169,"12651728310",Gemstones,,,,,,,,"""mobile""=>""+356 9982 2592"",""opening_hours""=>""Mo-Sa 10:30-19:00"",""shop""=>""jewelry"",""website""=>""https://gemstonesbirgu.com/""",Il-Birgu,Shopping,Yes
170,"13207221936",Torri ta San Gwann,,,,,,,tower,"""tower:type""=>""defensive""",Il-Birgu,Others,Yes
171,"13207221937",Birgu Scouts,,,,,,,,"""club""=>""scout""",Il-Birgu,Others,Yes
172,"12649685423",Taste Malta,,,,,,,,"""amenity""=>""cafe"",""cuisine""=>""coffee_shop"",""outdoor_seating""=>""yes""",Il-Birgu,Recreation,Yes
173,"12649595751",Birds Empire and More,,,,,,,,"""shop""=>""pet"",""website""=>""https://www.birdsempirenmore.com/""",Il-Birgu,Shopping,Yes
174,"12649595750",Chapel of Our Lady of Damascus,,,,,,,,"""amenity""=>""place_of_worship"",""religion""=>""christian""",Il-Birgu,Recreation,Yes
175,"293534852",Oratorju San Ġużepp,,,,,,,,"""fee""=>""yes"",""tourism""=>""museum""",Il-Birgu,Recreation,Yes
176,"293534850",,,,,,,,,"""historic""=>""monument"",""survey_point""=>""suppl""",Il-Birgu,Recreation,Yes
177,"8750238712",,,,,,,,,"""amenity""=>""atm"",""brand""=>""BOV"",""check_date""=>""2025-10-31"",""level""=>""0"",""opening_hours""=>""24/7"",""operator""=>""BOV"",""wheelchair""=>""yes""",Il-Birgu,Personal Errands,Yes
178,"12459274235",,,,,,,,,"""amenity""=>""letter_box""",Il-Birgu,Others,Yes
179,"11591852867",Champ Pastizzeria,,,,,,,,"""addr:housenumber""=>""31"",""amenity""=>""fast_food"",""cuisine""=>""pastizze"",""opening_hours""=>""Mo-Su 06:00-16:30"",""phone""=>""+3562746 5796""",Il-Birgu,Recreation,Yes
180,"12649595752",Full House,,,,,,,,"""addr:housenumber""=>""6"",""addr:street""=>""Triq Desain"",""amenity""=>""restaurant"",""cuisine""=>""polish"",""mobile""=>""+356 7770 6591"",""opening_hours""=>""Tu-Sa 13:30-21:00""",Il-Birgu,Recreation,Yes
182,"6283121887",Euronet,,,,,,,,"""amenity""=>""atm"",""brand""=>""Euronet"",""brand:wikidata""=>""Q5412010"",""brand:wikipedia""=>""en:Euronet Worldwide"",""opening_hours""=>""24/7"",""operator""=>""Euronet"",""operator:wikidata""=>""Q5412010"",""operator:wikipedia""=>""en:Euronet Worldwide""",Il-Birgu,Personal Errands,Yes
183,"5202190986",,,,,,,,,"""amenity""=>""telephone""",Il-Birgu,Personal Errands,Yes
184,"2803604216",Pulizija Vittoriosa,,,,,,,,"""amenity""=>""police"",""name:it""=>""Polizia"",""operator""=>""Pulizija ta' Malta"",""operator:wikidata""=>""Q2413538"",""operator:wikipedia""=>""en:Malta Police Force""",Il-Birgu,Personal Errands,Yes
185,"11591853844",,,,,,,,guard_stone,,Il-Birgu,Others,Yes
186,"11591832352",,,,,,,,guard_stone,,Il-Birgu,Others,Yes
187,"2485614282",Il-Girbi,,,,,,,,"""addr:city""=>""Il-Birgu (Vittoriosa)"",""addr:country""=>""MT"",""addr:housenumber""=>""2"",""addr:postcode""=>""BRG 1425"",""addr:street""=>""Triq La Vallette"",""amenity""=>""restaurant"",""internet_access""=>""wlan"",""phone""=>""+35621808938"",""website""=>""https://ilgirbi.com/""",Il-Birgu,Recreation,Yes
188,"11591811214",,,,,,,,guard_stone,,Il-Birgu,Others,Yes
189,"11591847575",,,,,,,,guard_stone,,Il-Birgu,Others,Yes
190,"2803604217",Vittoriosa Desain,,,VTTR001,,,,,"""operator""=>""Enemalta"",""operator:wikidata""=>""Q1341101"",""operator:wikipedia""=>""en:Enemalta"",""power""=>""transformer""",Il-Birgu,Others,Yes
191,"2334290384",Cafe du Brazil,,,,,,,,"""addr:city""=>""Il-Birgu (Vittoriosa)"",""addr:country""=>""MT"",""amenity""=>""cafe"",""indoor_seating""=>""yes"",""mobile""=>""+356 9995 7997"",""opening_hours""=>""Mo-Su 07:00-19:00"",""outdoor_seating""=>""yes"",""website""=>""https://www.facebook.com/pages/Cafe-Du-Brazil-Birgu/148177598583671""",Il-Birgu,Recreation,Yes
192,"6283122085",Main Square,,,,,,,,"""amenity""=>""restaurant"",""cuisine""=>""maltese"",""opening_hours""=>""Mo-Su 07:00-23:00"",""phone""=>""+35621801671""",Il-Birgu,Recreation,Yes
193,"2941015927",Bebirgu,,,,,,,,"""addr:housenumber""=>""11"",""addr:street""=>""Misraħ ir-Rebħa"",""amenity""=>""restaurant"",""capacity""=>""50"",""cuisine""=>""regional"",""opening_hours""=>""Mo-Su 07:00-23:00"",""phone""=>""+35621808022""",Il-Birgu,Recreation,Yes
194,"12650867868",Partit Laburista,,,,,,,,"""office""=>""political_party""",Il-Birgu,Commuting to work,Yes
195,"2476972115",dCentre,,,,,,,,"""addr:city""=>""Il-Birgu (Vittoriosa)"",""addr:country""=>""MT"",""addr:housenumber""=>""2"",""addr:street""=>""Triq il-Mina il-Kbira"",""amenity""=>""restaurant"",""contact:facebook""=>""https://www.facebook.com/dcentre.birgu.malta/"",""internet_access""=>""wlan"",""opening_hours""=>""Mo-Th 10:00-22:30; Fr-Sa 10:00-23:00; Su 09:00-22:30"",""outdoor_seating""=>""yes"",""phone""=>""+356 2701 7470"",""website""=>""https://www.facebook.com/dcentre.birgu.malta/"",""wheelchair""=>""yes""",Il-Birgu,Recreation,Yes
196,"12651148029",Vittoriosa Pharmacy,,,,,,,,"""phone""=>""+35621807529"",""shop""=>""chemist""",Il-Birgu,Shopping,Yes
197,"12651837771",Step In Stationery,,,,,,,,"""addr:housenumber""=>""31"",""addr:street""=>""Triq Nestu Laiviera"",""phone""=>""+35621801207"",""shop""=>""yes""",Il-Birgu,Shopping,Yes
198,"12651837797",Mifsud Garage Ironmongery,,,,,,,,"""shop""=>""hardware""",Il-Birgu,Shopping,Yes
199,"12651880225",Franka Lira Malla,,,,,,,,"""shop""=>""yes""",Il-Birgu,Shopping,Yes
200,"12658270859",Heartwork,,,,,,,,"""addr:housenumber""=>""56"",""addr:street""=>""Triq Il-Mina"",""opening_hours""=>""We-Su 10:00-16:00"",""shop""=>""clothes"",""website""=>""https://www.facebook.com/profile.php?id=100083217554432""",Il-Birgu,Shopping,Yes
202,"7190224585",,,,,,,,,"""information""=>""office"",""tourism""=>""information""",Il-Birgu,Recreation,Yes
203,"6220843185","Il Collachio;Il Collacchio",,,,,,,,"""tourism""=>""attraction;gallery""",Il-Birgu,Recreation,Yes
204,"293534848",Inquisitor's Palace,,,,,,,,"""addr:city""=>""Il-Birgu (Vittoriosa)"",""addr:country""=>""MT"",""addr:postcode""=>""BRG 1023"",""addr:street""=>""Main Gate Street"",""contact:email""=>""info@heritagemalta.org"",""contact:phone""=>""+356 21 827 006"",""fee""=>""yes"",""museum""=>""history"",""name:de""=>""Palast des Inquisitors"",""name:fr""=>""Palais de l'Inquisiteur"",""name:mt""=>""Il-Palazz tal-Inkwiżitur"",""name:pl""=>""Pałac Inkwizytora"",""opening_hours""=>""Mo-Su 09:00-17:00"",""tourism""=>""museum"",""website""=>""https://heritagemalta.org/the-inquisitors-palace/"",""wikidata""=>""Q3361044"",""wikimedia_commons""=>""Category:Inquisitor's Palace in Birgu"",""wikipedia""=>""en:Inquisitor's Palace""",Il-Birgu,Recreation,Yes
206,"5590784922",Auberge d’Auvergne et de Provence,,,,,,,,"""historic""=>""monument"",""name:fr""=>""Auberge d’Auvergne et de Provence"",""wikidata""=>""Q16252175"",""wikimedia_commons""=>""Category:Auberge d'Auvergne et Provence (Birgu)"",""wikipedia""=>""en:Auberge d'Auvergne et Provence""",Il-Birgu,Recreation,Yes
207,"6236973586",Brincellu Bar,,,,,,,,"""addr:street""=>""Triq il-Majjistral"",""amenity""=>""bar"",""opening_hours""=>""We-Sa 18:30-21:30; Su 10:30-16:00""",Il-Birgu,Recreation,Yes
209,"5590796921",,,,,,,,,"""historic""=>""monument"",""name:fr""=>""Auberge d’Angleterre"",""wikidata""=>""Q16252165"",""wikimedia_commons""=>""Category:Auberge d'Angleterre (Birgu)"",""wikipedia""=>""en:Auberge d'Angleterre""",Il-Birgu,Recreation,Yes
210,"293529473",The Executioner's House,,,,,,,,"""name:de""=>""Das Haus des Henkers"",""tourism""=>""attraction""",Il-Birgu,Recreation,Yes
211,"5590784923",,,,,,,,,"""historic""=>""memorial"",""name:fr""=>""Auberge de France"",""subject:wikidata""=>""Q16962910"",""subject:wikipedia""=>""http://en.wikipedia.org/wiki/Auberge de France, Birgu"",""wikimedia_commons""=>""Category:Auberge de France (Birgu)""",Il-Birgu,Recreation,Yes
212,"6659782485",Tal-Petut Restaurant,,,,,,,,"""addr:housenumber""=>""20"",""addr:street""=>""Triq Pacifiku Scicluna"",""amenity""=>""restaurant"",""cuisine""=>""maltese"",""opening_hours""=>""Mo-Sa 18:30-22:00"",""phone""=>""35621891169"",""website""=>""https://www.talpetut.com/""",Il-Birgu,Recreation,Yes
